ebird_kodu,bilimsel_ad,turkce_ad,ingilizce_ad,gbif_kayit,gbif_species_key,durum,gerekce,ay_01,ay_02,ay_03,ay_04,ay_05,ay_06,ay_07,ay_08,ay_09,ay_10,ay_11,ay_12
palsan1,Syrrhaptes paradoxus,Paçalı Bağırtlak,Pallas's Sandgrouse,1,2480208,elendi,Istanbul'da yalnizca 1 kayit (esik 30),,,,,,,,,,,,
,Accipiter gentilis,,,1,2480589,elendi,Istanbul'da yalnizca 1 kayit (esik 30),,,,,,,,,,,,
brnboo,Sula leucogaster,Kara Sümsük,Brown Booby,1,2480975,elendi,Istanbul'da yalnizca 1 kayit (esik 30),,,,,,,,,,,,
sakfal1,Falco cherrug,Ulu Doğan,Saker Falcon,1,2481034,elendi,Istanbul'da yalnizca 1 kayit (esik 30),,,,,,,,,,,,
lotjae,Stercorarius longicaudus,Uzun Kuyruklu Korsanmartı,Long-tailed Jaeger,1,2481613,elendi,Istanbul'da yalnizca 1 kayit (esik 30),,,,,,,,,,,,
gresku1,Stercorarius skua,Büyük Korsanmartı,Great Skua,1,2481618,elendi,Istanbul'da yalnizca 1 kayit (esik 30),,,,,,,,,,,,
rocnut1,Sitta neumayer,Kaya Sıvacısı,Western Rock Nuthatch,1,2484890,elendi,Istanbul'da yalnizca 1 kayit (esik 30),,,,,,,,,,,,
whsbul1,Pycnonotus xanthopygos,Arapbülbülü,White-spectacled Bulbul,1,2486116,elendi,Istanbul'da yalnizca 1 kayit (esik 30),,,,,,,,,,,,
,Melanocorypha leucoptera,,,1,2490611,elendi,Istanbul'da yalnizca 1 kayit (esik 30),,,,,,,,,,,,
blalar1,Melanocorypha yeltoniensis,Kara Toygar,Black Lark,1,2490614,elendi,Istanbul'da yalnizca 1 kayit (esik 30),,,,,,,,,,,,
crebun2,Emberiza caesia,Kızıl Kirazkuşu,Cretzschmar's Bunting,1,2491490,elendi,Istanbul'da yalnizca 1 kayit (esik 30),,,,,,,,,,,,
rusbun,Emberiza rustica,Ak Kaşlı Çinte,Rustic Bunting,1,2491582,elendi,Istanbul'da yalnizca 1 kayit (esik 30),,,,,,,,,,,,
refblu1,Tarsiger cyanurus,Mavi Kuyruklu Bülbül,Red-flanked Bluetail,1,2492509,elendi,Istanbul'da yalnizca 1 kayit (esik 30),,,,,,,,,,,,
piebus1,Saxicola caprata,Kara Taşkuşu,Pied Bushchat,1,2492519,elendi,Istanbul'da yalnizca 1 kayit (esik 30),,,,,,,,,,,,
afrsto1,Saxicola torquatus,Afrika Taşkuşu,African Stonechat,1,2492526,elendi,Istanbul'da yalnizca 1 kayit (esik 30),,,,,,,,,,,,
zitcis1,Cisticola juncidis,Yelpazekuyruk,Zitting Cisticola,1,2492822,elendi,Istanbul'da yalnizca 1 kayit (esik 30),,,,,,,,,,,,
redava,Amandava amandava,Kırmızı Avadava,Red Avadavat,1,2493698,elendi,Istanbul'da yalnizca 1 kayit (esik 30),,,,,,,,,,,,
bahgoo,Anser indicus,Hint Kazı,Bar-headed Goose,1,2498035,elendi,Istanbul'da yalnizca 1 kayit (esik 30),,,,,,,,,,,,
robpoc1,Netta peposaca,Gül Gagalı Ördek,Rosy-billed Pochard,1,2498181,elendi,Istanbul'da yalnizca 1 kayit (esik 30),,,,,,,,,,,,
manshe,Puffinus puffinus,Atlantik Yelkovanı,Manx Shearwater,1,5229380,elendi,Istanbul'da yalnizca 1 kayit (esik 30),,,,,,,,,,,,
reclar1,Calandrella cinerea,Kızıl Tepeli Bozkır Toygarı,Red-capped Lark,1,5230989,elendi,Istanbul'da yalnizca 1 kayit (esik 30),,,,,,,,,,,,
redpol1,Acanthis flammea,Huş İsketesi,Redpoll,1,5231630,elendi,Istanbul'da yalnizca 1 kayit (esik 30),,,,,,,,,,,,
sibacc,Prunella montanella,Sibirya Dağbülbülü,Siberian Accentor,1,5231759,elendi,Istanbul'da yalnizca 1 kayit (esik 30),,,,,,,,,,,,
brant,Branta bernicla,Yosun Kazı,Brant,1,5232446,elendi,Istanbul'da yalnizca 1 kayit (esik 30),,,,,,,,,,,,
orihob2,Pernis ptilorhynchus,Tepeli Arı Şahini,Oriental Honey-buzzard,1,5793241,elendi,Istanbul'da yalnizca 1 kayit (esik 30),,,,,,,,,,,,
audgul1,Ichthyaetus audouinii,Ada Martısı,Audouin's Gull,1,7406504,elendi,Istanbul'da yalnizca 1 kayit (esik 30),,,,,,,,,,,,
